label,comment
2.0,ông già dậy đi tiểu bị ngã tại sao lại thế nhỉ tại sao không để cái chậu nước sạch ở chân giường dậy là ngồi xuống tay vịn thành giường mà tiểu
2.0,một ngày trôi qua thì ta luôn nhìn lại xem mình đã tệ như thế nào để mọi người nói đến thật sự trong mỗi người đều có cái được gọi là cô đơn điều đó còn như một người cười bên ngoài những khi họ về nhà thì họ dần chìm sâu vào cái âu lo muội phiên đau lòng trầm tư nó có đk nhỉ
2.0,mọi người ơi năm nay mình không được giấy khen đó là điều mà mình buồn nhất mọi người có cách nào không
2.0,mệt mỏi quá
2.0,nhiều phụ nữ chồng không làm gì phạm lỗi và không có gia trưởng nhưng chỉ vì cái tội ra đường lắm kẻ trêu chọc cám dỗ nghe lọt tai là tặc lưỡi nhắm mắt bước theo để thử cuối cùng cảm thấy sự làm tình với nhau thấy thích hơn chồng mình thế rồi thành quen thành nghiện rồi dần dần cứ vậy nhắm mắt đi theo đến lúc tỉnh ngộ quay về cảm thấy ngượng rồi cứ lấm lét nhìn trộm chồng xem chồng có phản ứng gì thấy chồng không phát hiện lại tìm người đó để đi tiếp cuối cùng người đó đã có người khác họ chán mình đến khi thất vọng quay về thì cũng đã thấy nhục nhã nếu chồng cờ tha thứ cho nhưng không còn vui vẻ như trước nữa mà còn bị phạt tội làm việc nhà tăng lên gấp đôi mọi lần mệt cũng phải cắn răng chịu đựng không dám phàn nàn thử hỏi đang ở với nhau hạnh phúc tuy kinh tế còn eo hẹp nhưng không phải cố gắng cứ từ từ mà làm đến khi có lỗi về phải làm gấp đôi vậy nên chớ có dại dù có đi tìm chọn người thương mình hơn thì không bao giờ có nhớ nhé
2.0,trời oi
2.0,chỉ ước có thể quay lại hôm ấy để nói lời tạm biệt
2.0,có hôm hết sạch tiền chỉ dám ăn bánh mì không rồi đi học
2.0,tôi đang tuổi mong sau khi năm nữa tôi tuổi cuộc sống sẽ khác
2.0,lúc học thì áp lực lúc nghỉ thì lo sợ
2.0,xem anh này cũng vui
2.0,mỗi kỳ thi là một nỗi lo
2.0,coi trận này mới thấy vừa trách hlv cũng vừa trách các cầu thủ cầm bóng còn hog vững nói chi mà đi wc
2.0,ước gì không ai bị tử hình
2.0,kịch bản này mình xem quá nhiều trong gia đình này thực ra dora mới ra biến thái nhất chẳng qua nó giả vờ yếu đuối để gia đình che chở
2.0,mong em an toàn gia đình đừng lo quá
2.0,nó củng ảnh thưởng rất lớn chứ bộ
2.0,may moc
2.0,tui nhớ lý đô ra quá
2.0,mỗi đồng bạc lẻ đều là bằng chứng của sự nỗ lực
2.0,trước là người xa lạ rồi ta đến bên nhau tặng nhau vài nỗi đau rồi quay về xa lạ
2.0,tôi không còn cảm xúc gì với cuộc sống
2.0,như ma nhập
2.0,tết cận kề mà chưa chắc đã về được quê
2.0,hôm nay tớ mất quá nhiều rồi
2.0,t có niềm tin rồi rằng hơn nữa số học sinh trong đó vừa sợ vừa vui sợ thì hẳn là sợ lửa hóa kiếp rồi nhưng vui về cái gì thì ai cũng biết
2.0,tôi nhớ từng bụi chuối từng hàng rào rêu phong của quê nhà
2.0,chỉ ước có thể quay lại hôm ấy để nói lời tạm biệt
2.0,trước đây barca không quyết liệt giữ chân được xavi simons là sai lầm
2.0,từng nghĩ sẽ bỏ cuộc nhưng chỉ cần nghĩ đến mẹ là lại bước tiếp
2.0,mình đang bị giờ ngủ không được luôn
2.0,lúc mình đi viện mới lên viện thì nghe mọ mất nhưng em không được về chỉ có bố em được về vì em phải ở lại kiểm tra và em không được gặp mọ lần cuối
2.0,thật sự mình thấy dạo này toàn mấy tin thông báo về sức khỏe của học sinh không tốt chứng tỏ học sinh ngày nay ít hoạt động thể thao đi chơi đây đó nên mới có những trường hợp như vậy thật đáng sợ bệnh tật đang ngày càng được trẻ hóa mong em học sinh trong video siêu sanh giải thoát xin chia buồn cùng gia đình em
2.0,mình đang hc lớp chuẩn bị bước sang lớp nên sẽ không được nhau nữa nhưng mình vẫn lun nhớ về cậu và cuối cùng mình cũng không có dũng cảm để nói lời thật lòng cho cậu ấy biết cảm ơn cậu đã cho mình trải nghiệm được thích một người là gì
2.0,nhớ nhất là những chiều mẹ dắt trâu về giữa đồng
2.0,t đọc gấu sợ hãi trong vid thành mek gấu so hài
2.0,gia đình này hiền thật tôi mà có gia đình này mà là gia đình tôi thì tốt biết mầy
2.0,tự dặn lòng mỗi khó khăn hôm nay là để đổi lấy ngày mai tốt hơn
2.0,muốn gọi về cho mẹ mà sợ mẹ nghe tiếng mình nghẹn ngào
2.0,chắc là bị đột quỵ
2.0,lần khóc và lần này mình không khóc nx rồi chỉ hơi buồn thôi
2.0,sao con này đần vậy trời
2.0,ba không na n na y đa cươ p đoa t bao nhiêu tiê n ba chị cu anh mo i ngươ i đê n nay cu người không khă chị phu chị to anh anh n thi hư anh he n tra tiê n la i cho chu người tôi nhưng chơ ma i chă người thâ y hô i âm thâ t la đau lo người
2.0,nhạc nền là gì vậy ạ
2.0,dạ hay quá đa kkkkk má đẻ cáu đầu ra trước
2.0,thương em trai vủ ghê cam ơn mtq giúp huyền
2.0,buồn cười quá muốn nhận lộc anh em vào f b
2.0,tôi thấy mình lạc lõng giữa gia đình
2.0,để chuyển đổi từ giây sang năm chúng ta cần sử dụng các phép tính sau một phút có giây một giờ có phút một ngày có giờ một năm có ngày không tính năm nhuận do đó chúng ta có một phút giây một giờ phút giây một ngày giờ giây một năm ngày giây bây giờ chúng ta sẽ chia tỷ giây cho số giây trong một năm để ra số năm
2.0,đúng là tội ác còn hơn cả cam phải loại ra khỏi xã hội
2.0,nhớ nhất là những chiều mẹ dắt trâu về giữa đồng
2.0,không thể làm với kẻ gian doi duoc
2.0,ủa sao tủi y như tủi
2.0,muốn có tiếng khóc trẻ thơ trong nhà lắm rồi
2.0,lương làm thêm vừa đủ tiền học phí là thấy may mắn lắm rồi
2.0,người cha từng dạy tôi bước đi đầu tiên giờ đã rời xa
2.0,tôi đang tuổi mong sau khi năm nữa tôi tuổi cuộc sống sẽ khác
2.0,biết ơn bạn vy đã chia sẻ nhé chúc bạn luôn khỏe mạnh an vui và hạnh phúc
2.0,tệ lắm
2.0,đi giữa thành phố hoa lệ mà thấy tim mình hoang vu
2.0,cả tháng không dám mua quần áo mới dù đồ đã cũ sờn
2.0,giấc mơ đổi đời mang tôi rời quê nhưng nó không cho tôi hạnh phúc
2.0,dạ vui quá đồ ăn lần này thấy cũng ngon ghê
2.0,mình bị roí loạn lo âu mất ngủ nong được tư vấn
2.0,ông ngoại mình mất hơn tuần rồi xin chỉ buồn cùng giá đình
2.0,mê đoạn này cực
2.0,buồn quá không biết bao giờ cháu mới tỉnh lại
2.0,t đọc gấu sợ hãi trong vid thành mek gấu so hài
2.0,tôi nhớ từng bụi chuối từng hàng rào rêu phong của quê nhà
2.0,nỗi đau mất người thân không thể diễn tả thành lời
2.0,tôi học suốt nhưng không tiến bộ
2.0,tội con gái vì bà mất chúc con khỏe mạnh lên nhé con năm bô anh gi đà phật
2.0,làm cách nào để giữ được tiền đây là nỗi thống khổ của tôi tôi có thể kiếm rất nhiều tiền nhưng sau đó tôi cũng làm tiêu tan trong nháy mắt kiếm tiền nhìu cũng cảm thấy bất an không tiền cũng bất an tôi ghét tiền và chán ngán nó tôi muốn quên nó nhưng suy nghĩ của tôi cứ mãi nghĩ về nó
2.0,bởi vậy giờ lớp lớp là các cháu mất trinh hết rồi bầu bì đẻ chữa chây chét tùm lum đẻ con gái rất khổ
2.0,em cũng đang bị rối loạn lo âu em ở ngoài bắc em nên đi khám ở bv nào được nhờ bs tư vấn giúp ạ
2.0,thấy tội mà thôi cũng kệ
2.0,em vừa tắm xong bh em mới xem được ạchúc à buổi tối vui vẻ nha
2.0,anh review về xứ sở mèn mén tp sơn la đi anh
2.0,người thành phố đi vội quá chẳng ai dừng lại hỏi bạn có ổn không
2.0,vợ ngoại tình nếu có hành động này trước khi ngủ
2.0,có những mất mát không thể nói thành lời
2.0,đ
2.0,mỗi bữa cơm chỉ có trứng luộc và canh rau nhưng vẫn thấy ấm lòng
2.0,gia đình này hiền thật tôi mà có gia đình này mà là gia đình tôi thì tốt biết mầy
2.0,đồng tiền công rửa chén là bữa ăn là tiền học là ước mơ
2.0,vợ ngoại tình nếu có hành động này trước khi ngủ
2.0,trước đây barca không quyết liệt giữ chân được xavi simons là sai lầm
2.0,muốn bỏ tất cả để về quê làm ruộng cho nhẹ lòng
2.0,tôi cũng bi vo tôi vô tội buôn tôm nha chú đề lần vì ông đồ đảm chuyên sản xô khách hàng là nuvo tôi là cháu vẫn bị chu ngoài tihnen tôi khó lam
2.0,không lo bảo toàn tính mạng còn đi làm
2.0,sao không đập thằng chồng nó chơì hết con này tới con khác thôi đánh cả đời củng không hết đâu chị vợ ạ lo mà đánh son sửa sạn lại là nó sợ à chị ạ
2.0,con cá lóc nó đâu dính dáng gì trời
2.0,bạn bè đều có gia đình nhỏ còn mình vẫn đơn độc
2.0,mình muốn gửi thư cho add thì ở đâu nhỉ
2.0,bản chất con người là luôn luôn thay đổi thay đổi về tính cách ngoại hình lối sống suy nghĩ nên có thể bạn gặp đúng người hợp với cái gu của bạn vào thời điểm nào đó nhưng qua thời gian thì tính cách lối sống cảm xúc của họ sẽ thay đổi cà tình cảm họ dành cho bạn nữa cũng thay đổi nên kết cục của ty thường là buồn là điều dễ hiểu mà
2.0,tư thục cho bắt cam trẻ nhà nước không có cam sao biết được
2.0,tôi nhớ từng bụi chuối từng hàng rào rêu phong của quê nhà
2.0,tôi nghĩ lên xe nào cũng chết cả thôi
2.0,còn mình thì bị lâu rồi mà không biết bệnh gì chính xác gần năm mình phát hiện bệnh này và điều trị năm vẫn chưa hết tất cả các triệu chứng của rối loạn lo ai mình đều trải qua hết thật đáng sợ
2.0,ở đây có ai thực sự đang nợ hơn tỷ mà tài sản chẳng còn gì không ạ
2.0,quý hợi chưa bao giờ ổn cả nợ nần ngập đầu đêm đến chưa bao giờ chợp mắt thật sự bế tắt không biết lối thoát nào dành cho mình lúc này đứa con thơ sẽ ra sao đời chẳng bao giờ bằng phẳng đối với mình
2.0,cần gì phải ngoại tình chỉ giận hờn cũng có những hành động như vậy
2.0,trường này gần nhà em đó chị
2.0,tôi không nợ tiền bạc tôi có công việc thu nhập cũng khá ổn nhưng xung quanh tôi không có ai cả cũng không ai san sẻ về những gì mà tôi trải qua hàng ngày áp lực mệt mỏi một mình tôi biết và tôi chịu tôi có cuộc sống nói ra thì có một số người sẽ mơ ước nhưng thật sự tôi chán cuộc sống này nó nhạt nhẽo và mệt mỏi
2.0,đi bước gặp tiểu nhân không ngóc đầu lên được nghi ngờ luôn nhân sinh
2.0,cha mà thua một con chó đến con ruột mà cũng giết
2.0,bà nội em mất ngày tháng mới chôn cất từ hồi sáng
2.0,có lẽ đây là sự bất lực cùng cưc của truyền thông bên phe yếu thế
2.0,anh ấy từng lấy tôi lên khỏi hố đen của mình và rồi cứ vậy mùa xuân năm ấy tôi với anh ở bên nhau đến khi dừng lại vờ như tôi không yêu anh ấy nhưng rồi giờ tôi nhận ra tôi yêu anh đến nhường nào lòng tôi đau như thắt lại và muốn anh lại về bên tôi lần nữa tôi đã có nhưng thứ tôi đã luôn cố để có nhưng anh thì không
2.0,mình cũng bị chuyển sang mất ngủ trầm cảm chịu khó đi bộ tập thể dục bớt suy nghĩ lại ai thoát ra được mới hiểu nhưng mình dạo này hay bị mật thắng bằng
2.0,báo quá trôi
2.0,sao tình trạng này cứ tái diễn hoài thế không biết phải nói như thế nào nữa họ mất tính người rồi nếu pl không xử lý nặng thì hành vi này sẽ còn tái diễn mãi một lần bắt được nghìn lần không tội cho con trẻ quá
2.0,người bà luôn bên tôi giờ chỉ còn trong ký ức
2.0,còn mình thì bị lâu rồi mà không biết bệnh gì chính xác gần năm mình phát hiện bệnh này và điều trị năm vẫn chưa hết tất cả các triệu chứng của rối loạn lo ai mình đều trải qua hết thật đáng sợ
2.0,ngồi giữa thành phố lớn ăn mì gói mà nhớ cơm quê đến rơi nước mắt
2.0,lần khóc và lần này mình không khóc nx rồi chỉ hơi buồn thôi
2.0,ngày thi cũng là ngày nhịn đói vì không còn tiền
2.0,tôi nợ tr đã gắng hết sức vì gia đình nhưng đến phút cuối mới nhận ra rằng vợ mình xem mình có cũng như không cảm giác chán trường ai hiểu được tôi không nam mô bổn sư thích ca mâu ni phật che chở cho con qua nổi đau này
2.0,có không vậy trời
2.0,mỗi lần stress là lại xem chị cảm ơn chị đã lan toả sự tích cực của mình và em mong rằng chị sẽ ra nhiều video hơn trong thời gian sắp tới nhé
2.0,kịch bản này mình xem quá nhiều trong gia đình này thực ra dora mới ra biến thái nhất chẳng qua nó giả vờ yếu đuối để gia đình che chở
2.0,bệnh này điều trị ở đâu mình bị năm rồi hiện tại không lao động được
2.0,đến trường là cái quần nó ước từ éo xuống gót chân lạnh lẽo ghê gớm mùi thì không phải bàn được cái mùa này hc trong lớp không cần mở quạt gió thỏi muốn gãy cửa cũng đã lắm
2.0,áp lực học hành khiến tôi muốn biến mất
2.0,truong t co bạn bi soc nhiet trong le tong ket anh
2.0,lồn trung quốc leo me ptrung quoc la tau khua sieu dieu
2.0,mình bị roí loạn lo âu mất ngủ nong được tư vấn
2.0,anh ơi mong anh chia sẽ tiếp về cách chơi chứng khoán sâu hơn ạ rất mong muốn học từ anh về chồng vì học từ anh chậm mà chắc an toàn
2.0,làm thêm mười tiếng đồng hồ chỉ mong đủ tiền gửi về quê
2.0,tớ thường không xem postcard mới nhất của vì sao thế nhỉ bình thường tớ buồn sẽ nghe vì sao thế nhỉ lạ hơn nữa là youtube sẽ luôn đề xuất những video giống với cảm xúc hiện tại của tớ khi mà tớ xem video này lại là vào lúc nó đã phát hành được năm
2.0,người chị cả chăm lo gia đình giờ không còn
2.0,cứ đổ hết tội trạng cho trương mỹ lan những người giúp sức cho bà lan mới cần xem xét nghiêm minh nếu không được giúp sức như vậy thì bà lan không thể phạm tội như vậy
2.0,áp lực học hành khiến tôi muốn biến mất
2.0,dạ hay quá đa kkkkk má đẻ cáu đầu ra trước
2.0,làm nhiều việc cùng lúc mệt lả người mà vẫn chưa đủ sống
2.0,người từng là cả thế giới giờ đã đi xa
2.0,em vừa tắm xong bh em mới xem được ạchúc à buổi tối vui vẻ nha
2.0,áp lực học hành khiến tôi muốn biến mất
2.0,mỗi lần thấy ảnh gia đình lại không cầm được nước mắt
2.0,hiênn nay mc lại văn sâm chết chưa
2.0,xem mà muốn khóc luôn chia buồn cùng gia đình
2.0,đôi dép rách tôi vẫn đi vì tiền đó dành đóng học phí
2.0,nếu các ông muốn biết thì cô ấy là eva elfie
2.0,còn mình thì bị lâu rồi mà không biết bệnh gì chính xác gần năm mình phát hiện bệnh này và điều trị năm vẫn chưa hết tất cả các triệu chứng của rối loạn lo ai mình đều trải qua hết thật đáng sợ
2.0,ở đây có ai thực sự đang nợ hơn tỷ mà tài sản chẳng còn gì không ạ
2.0,thèm được nghe tiếng gà gáy sáng tiếng mẹ gọi ăn cơm giữa trưa hè
2.0,khi tìm được tình yêu mới thì người vợ sẽ sẵn sàng bỏ cả chồng con để đi theo người tình và họ sẽ có con mới với người tình
2.0,ngày hôm nay quá buồn ngày bể nợ mọi người cười khinh tránh mặt làm sao để trả được nợ đây hỡi trời ơi
2.0,tôi đã hiểu tại sao hồi tôi tuổi có đứa trong lớp tôi khóc vì chỉ có
2.0,lần khóc và lần này mình không khóc nx rồi chỉ hơi buồn thôi
2.0,shốp ơi ghép nhạc tết vào được không em sợ quá em đang ở nhà một mình còn gặp ví dụ của shốp
2.0,có không vậy trời
2.0,có lẽ đây là sự bất lực cùng cưc của truyền thông bên phe yếu thế
2.0,anh dinh doan xui người ta dang ky trước khi người ta da không muốn cho lay luc ve rat phuc tap so không song nổi
2.0,tiền ít nhưng lòng không hèn vẫn tự lo được cho bản thân
2.0,giờ đã tròn năm rồi thời gian trôi nhanh quá
2.0,lớp t hôm trước hành lang ướt do mưa hất vô mấy khứa bạn ra trượt mưa
2.0,good job
2.0,dù nghèo nhưng không đánh mất lòng tự trọng
2.0,sao lai nhẫn tâm vây em
2.0,không thể làm với kẻ gian doi duoc
2.0,cha mẹ gọi điện mà mình chỉ biết dạ rồi khóc
2.0,bạn bè lần lượt rời xa còn lại mình tôi trong căn phòng trống
2.0,cái cảm giác mà mới ra trường đi làm anwm lương mấy triệu nhưng vắt kiệt sức khỏe mình nghỉ làm về quê phụ gia đình buôn bán cứ nghĩ mọi chuyện sẽ bình yên qua ngày thì không hề vẫn là tự mình kiếm tiền cho bản thân là cảm giác dễ chịu nhất như anh có chia sẻ mình mất hẳn gần năm lang thang rồi quay vào ô khủng hoảng để thích nghi với việc lương thấp và tập bỏ đi cái tôi cá nhân của bản thân than thở xíu thôi ở tuổi mình chúc mọi người cũng sẽ sớm vượt qua và mình nhất định cũng sẽ làm được
2.0,tôi cũng ui đơn phương và tôi thấy rằng làm thế chỉ mệt tôi và giờ nhìn lại thấy đàn ông mà tôi thích nó là đồ tồi
2.0,cho hỏi thuốc này bán thế nào vậy bác
2.0,thời đại rồi mà cầm quyền như thời trung cổ
2.0,thò tay mà bứt cọng ngò thương em đứt ruột giả đò ngó lơ
2.0,em cũng vậy từ lúc mới học lớp bây giờ lớp từ lúc còn nhỏ mẹ đi làm em ở nhà với bà nội bây giờ bà nội mất rồi
2.0,mình đang bị giờ ngủ không được luôn
2.0,cả ngày học hành khiến tôi kiệt quệ
2.0,tôi đã quá quen với việc bị bỏ rơi
2.0,bố em chẳng cho em thể hiện cảm xúc thật đôi khi bị mắng muốn khóc mà khóc bố em lại nói là yếu đuối thế là em lại phải cố nín vừa buồn tủi thân áp lực
2.0,ba mẹ kiểu cuối cùng đã gã con báo này rồi nhớ là nhanh cho tao một cô cháu gái nha
2.0,học mấy năm mà không biết sau này ra làm gì
2.0,mỗi lần nhìn ảnh quê là lòng lại se thắt
2.0,nhìn béo như nhau là đúng gu rồi
2.0,mọi người ơi năm nay mình không được giấy khen đó là điều mà mình buồn nhất mọi người có cách nào không
2.0,thèm được nghe tiếng gà gáy sáng tiếng mẹ gọi ăn cơm giữa trưa hè
2.0,em cảm ơn chị vy rất nhiểu à đến m này em đi học lại sau tuần nghỉ tết nên em đang cảm thấy chán nản lắm
2.0,cho hỏi thuốc này bán thế nào vậy bác
2.0,thành phố có siêu thị có rạp chiếu phim nhưng không có bà ngồi chờ trước hiên
2.0,có ai biết cái ảnh nữ đeo kính trong video này là ai không nhìn như amber heard ấy
2.0,ngày người ấy mất tôi như chết lặng
2.0,ước mơ của bao nhiêu người
2.0,bạn bè đều có gia đình nhỏ còn mình vẫn đơn độc
2.0,lần nào coi mấy cái quy tắc nhà nhiều người bên cạnh main là tui cứ nghĩ chớt hết đám trừ main ra mấy nhân vật thông minh như trần ngôn từ thường chết ngay phút cuối không
2.0,tin phút ơi em coi mà buồn quá tại em cũng bị mất ngoại nội hết rồi
