label,comment,nonsw
2.0,đã xem video này của anh quéo từ hồi nó mới ra mắt năm lúc đó em còn đang là sinh viên và xem trước cũng như tự nhủ rằng mình sẽ chuẩn bị đủ để đối mặt với nó nhưng đến bây giờ ngày sau khi đã đi làm được năm chưa bao giờ em lại thấy nó vô định tuyệt vọng và trống rỗng như vậy để hàng giờ trên công ty trôi qua cách vô nghĩa lung lay và mơ hồ về năng lực của bản thân yếu đuối trước vòng xoáy bè phái của chính trị văn phòng là con cừu đen không thân thiết được ai trong căn phòng người này em lại quay về tìm kiếm lối thoát cho mớ bòng bong trong tâm trí rối loạn này của mình và rồi em lại tìm tới anh quéo sau quãng thời gian gần đây không còn theo dõi anh để rồi nhận ra video này của anh vẫn ở đó như để em quay trở lại tìm kiếm và tìm cách cứu chữa cho tình trạng hiện tại của mình cảm ơn anh rất nhiều không biết nói lời nào để thể hiện được rằng mặc dù chưa từng gặp anh lần nào nhưng anh lúc nào cũng ở đó chìa tay ra để giúp đỡ khi bản thân em gặp khó khăn trong tâm trí cảm ơn anh nhiều lắm ước muốn của em trong thâm tâm này là muốn làm một người thầy muốn chia sẻ những điều tốt đẹp về cảm xúc sự ấm áp về tình cảm và tinh thần mà mình có thể trao cho lẫn nhau dù em đang làm trong ngành kiểm toán một ngành khô khan về lý tính và số liệu chắc có lẽ em nên tìm đến việc học nghiệp vụ sư phạm để có bước đầu tiên trong việc trở thành người thầy có thể hơi ích kỷ nhưng mình viết lên đây để giãi bày những bế tắc đã kìm nén trong thời gian qua của mình mong rằng anh quéo hoặc đội ngũ admin cũng như mọi người nếu có thể đọc được có thể chia sẻ vài lời với nhau như những người bạn tâm sự với nhau nhé đà nẵng ngày nam,video quéo hồi mắt sinh viên nhủ đối mặt đi vô định tuyệt vọng trống rỗng hàng công ty trôi vô nghĩa lung lay mơ hồ năng lực yếu đuối vòng xoáy bè phái trị văn phòng cừu đen thân thiết phòng kiếm lối thoát mớ bòng bong tâm trí rối loạn quéo quãng dõi video trở kiếm cứu chữa cảm ơn thể hiện mặc chìa giúp đỡ tâm trí cảm ơn lắm ước thâm tâm thầy đẹp cảm xúc ấm áp tình cảm tinh thần trao lẫn ngành kiểm toán ngành khô khan lý liệu lẽ học nghiệp vụ sư phạm thầy hơi ích kỷ viết giãi bày bế tắc kìm nén mong quéo đội ngũ admin thể đọc tâm đà nẵng nam
2.0,tôi đang bệnh ung thư giai đoạn cuối còn thiếu nợ chồng chất nữa bây giờ chỉ ướt được có tiền trả nợ rồi chết chứ bệnh đau không sợ cầu mẹ quân âm cứu khổ cứu nạn cho con trả nợ rồi con chết mới nhắm mắt,bệnh ung thư giai đoạn nợ chồng chất ướt tiền nợ chết bệnh đau sợ cầu mẹ quân âm cứu khổ cứu nạn nợ chết nhắm mắt
2.0,chỉ ước có thể quay lại hôm ấy để nói lời tạm biệt,ước hôm tạm biệt
2.0,nguyện cho những ai khi xem được video này tất cả đều được bình an khỏe mạnh cầu gì cũng được nguyện gì cũng thành ai cô đơn sẽ có nơi nương tựa ai nghèo khổ sẽ thoát nghèo ai không có cơm no áo mặc hàng ngày nguyện sẽ được đủ đầy nam mô anh di đà phật,nguyện video bình an khỏe cầu nguyện thành đơn nương tựa nghèo khổ thoát nghèo cơm no áo mặc hàng nguyện nam mô di đà phật
2.0,giờ nghe thấy giọng thằng này lạnh người,giọng thằng lạnh
2.0,ăn rau luộc cơm nguội qua ngày nhưng vẫn cố không xin thêm,rau luộc cơm nguội cố
2.0,bà nội mình cũng mới mất,nội mất
2.0,mình xem mà khóc nức nở lun,khóc lun
2.0,muốn mua liều,mua liều
2.0,mình đang hc lớp chuẩn bị bước sang lớp nên sẽ không được nhau nữa nhưng mình vẫn lun nhớ về cậu và cuối cùng mình cũng không có dũng cảm để nói lời thật lòng cho cậu ấy biết cảm ơn cậu đã cho mình trải nghiệm được thích một người là gì,hc lớp lớp lun dũng cảm cảm ơn trải nghiệm thích
2.0,lần đầu mình nghe bài này là lúc mình học đàn có đánh bài này và mình chưa bt gì về bài thiếu nhi gì gì đó này nhưng lúc đó thầy dạy đàn nói là nhạc buồn xong mình cũng thắc mắc rồi về mở lên thì thấy cái này đầu tiên rồi kế bên là bài thiếu nhi trông rất tươi vui nhưng mình nghe cái số và thấy cô bé đó là con gái của người nông dân và cô bé đó đuối nước rồi khi ông phát hiện thì cô bé đã mãi mãi rời xa,đầu học đàn đánh chưa bt nhi thầy dạy đàn nhạc buồn xong thắc mắc kế nhi trông tươi vui bé gái nông dân bé đuối phát hiện bé mãi mãi rời
2.0,đèn phố sáng rực nhưng không ấm bằng ánh đèn dầu quê nhà,đèn phố rực ấm ánh đèn dầu quê
2.0,đuổi cô giáo này ngay lập tức tạm giam để điều tra không cần đợi điều tra rồi mới đuổi vì đã có camera ghi hình rồi còn chần chừ gì nữa,đuổi giáo tạm giam tra đợi tra đuổi camera ghi hình chần chừ
2.0,tôi luôn bị so sánh với người anh hoàn hảo,sánh hoàn hảo
2.0,tôi đã hiểu tại sao hồi tôi tuổi có đứa trong lớp tôi khóc vì chỉ có,hồi đứa lớp khóc
2.0,em tham gia thi hsg trên trường thời gian làm bài không nhiều nên bài của em không được tốt khi có điểm em đậu nhưng điểm không cao mẹ em mắng em rất nhiều rồi còn so sánh em với bạn khác rất nhiều em đang cố gắng làm bài tốt nhất có thể nhưng mẹ em chỉ chăm chăm vào kết quả của người khác mà mẹ không biết là đã mấy đêm em không ngủ mấy bữa sáng em không ăn em cảm thấy như mọi cố gắng của em chỉ đổi lại được lời trách mắng của mẹ em uất ức và khóc rất nhiều em không biết phải làm gì để mẹ hiểu cho em nữa,tham gia thi hsg trường đậu mẹ mắng sánh cố gắng mẹ chăm chăm kết mẹ mấy đêm ngủ mấy bữa cố gắng đổi trách mắng mẹ uất ức khóc mẹ
2.0,mừng quá cầu mong cho bé huyền khõe mạnh lại bình thường,mừng cầu mong bé huyền khõe bình
2.0,thời đại bây giờ đàn bà nó ngoại tình quá nhiều không chung thuỷ với chồng đâu bây giờ nhiều hoàn cảnh toàn là con hoang xen ngang vào mà chồng không biết,thời đại đàn ngoại tình thuỷ chồng hoàn cảnh toàn hoang xen ngang chồng
2.0,ích liệu khang giá bao nhiêu một hộp ạ,ích liệu khang giá hộp
2.0,cô mình thì cây cây cây cây cây cây cây cây cây cây được thưởng quà xịncô mình đánh đau lắm,thưởng quà xịncô đánh đau lắm
2.0,trước tầm cấp cả trường tui có cả tui từng chứng kiến ông chơi ngu nhảy từ tầng của trường xuống ಡ ʖ ಡ,tầm trường tui tui chứng kiến ngu nhảy tầng trường ಡ ʖ ಡ
2.0,bão yagi nè,bão yagi nè
2.0,thành phố có thể cho bạn nhiều thứ trừ cảm giác thuộc về,thành phố trừ cảm giác
2.0,ước tất cả mọi người được nghe như mình,ước
2.0,mong em an toàn gia đình đừng lo quá,mong an toàn gia đình đừng lo
2.0,khá tệ,tệ
2.0,lúc học thì áp lực lúc nghỉ thì lo sợ,học áp lực nghỉ lo sợ
2.0,goodluck hôm nay được ăn mỗi con lo,goodluck hôm lo
2.0,vid đầu xem tiếp ở đâu,vid đầu tiếp
2.0,bà ở ngoài background là melody mark đúng không,background melody mark
2.0,tiếp cận khong dụng ý xấu loài vạt sẽ nhận ra,tiếp cận khong dụng xấu loài vạt
2.0,ăn cơm chan nước tương nhưng vẫn cố tỏ ra ổn khi bạn hỏi thăm,cơm chan tương cố ổn thăm
2.0,xau khung dien nguuuu,xau khung dien nguuuu
2.0,giống nước nào gần đây ta,ta
2.0,người ta bảo đi xa để trưởng thành nhưng tôi chỉ thấy mình mất dần cảm xúc,ta bảo đi trưởng thành mất dần cảm xúc
2.0,cậu chuyện người bố bỏ đi vì mẹ quá quắt kg biết quan tâm chia sẻ vói chồng sao giống hoàn cảnh nhà tôi quá vậy người phụ nữ này giống hệt tính cách mẹ tôi nhiều lúc con cái cũng cảm thây chán nản ngán ngẩm,bố đi mẹ quắt kg vói chồng sao hoàn cảnh phụ nữ hệt mẹ cảm thây chán nản ngán ngẩm
2.0,tôi không muốn lớn lên nữa,tôi không muốn lớn lên nữa
2.0,sáng nào cũng vội vàng đi làm tối về chỉ muốn khóc,vội vàng đi tối khóc
2.0,quê nghèo nhưng ấm lòng còn thành phố giàu mà lạnh lẽo,quê nghèo ấm thành phố giàu lạnh lẽo
2.0,đg thất tình nghe xong chạm đáy nỗi đau luôn đang đứng trên nỗi đau xong h nằm bẹp dí luôn,đg thất tình xong chạm đáy nỗi đau đứng nỗi đau xong h nằm bẹp dí
2.0,trời ơi trường cũ của tôi,trời trường cũ
2.0,ba mẹ ngày xưa cực khổ nuôi mình giờ chỉ mong báo đáp,mẹ cực khổ nuôi mong báo đáp
2.0,người từng là cả thế giới giờ đã đi xa,giới đi
2.0,cho mình hỏi bị rối loạn lo âu khám ở đâu ở sài gòn à,rối loạn lo âu khám sài gòn
2.0,vé vớt vào đến đây là tốt rồi,vé vớt
2.0,video này như em đang hiện tại ạ,video
2.0,làm sao ngược dòng được thời có thì đỡ được chứ thì thôi bó tay,ngược dòng thời đỡ bó
2.0,người thành phố đi vội quá chẳng ai dừng lại hỏi bạn có ổn không,thành phố đi vội chẳng dừng ổn
2.0,đêm nghe tiếng lòng thở than ai vì ai mà mang đớn đau ôm những tro tàn dở dang đi về nơi từng thương lấy nhau sao nỡ sao đành rời xa để duyên tình ta giờ đây trái ngang chân bước đi tìm men say để cho lòng tôi đớn đau vô vàn tôi cố che giọt lệ tuôn em cùng ai cầm tay bước qua chim quý phải tựa lầu son thân hèn bên niềm đau xót xa theo áng mây về nơi nao đây hoàng hôn mình ai ngóng trông hoa cuốn theo dòng đời trôi đi về đâu tôi ngồi trông theo chiều thu họa bóng em mây giăng lem xê tà hoàng hôn từ ấy lâu kêu thay tên của người gọi nhau là cố nhân ai ơi đau thắt lòng từng thương lấy nhau như bóng với hình ai vừa nói câu yêu thương tôi đây mà vậy ai vừa bước chân lên xe hoa đi rồi trời thu buồn kéo mưa theo mây mờ giăng lối lấy em tôi đi rồi tình đời hợp tan mắt ai ưu sầu nụ cười ngày nao đã phai lâu rồi cành hồng vừa trao mà giờ này lòng mình đau giờ thì tình này về đâu sao phải quên thật mau giờ thì còn ai ngóng ai mong chờ ngày người về nơi ấy ta không ngờ vì người mà đau man mác theo sương mờ lòng người giờ này tựa một bức tranh phai màu bên lầu son còn ai trên đời hiểu thấu giờ này sầu tình tự mình trách thân ngu khờ trao tình yêu cho ai bây giờ ngu ngơ một ngày thu nhạt phai tình tàn chiều hoàng hôn vì ai vội vàng lòng nặng mang trách ai trách thân cơ hàn nhìn vào ly rượu cay thầm cười giờ bàn tay người buông thật rồi thì mình ta ôm nỗi đau về sau chiều thu họa bóng em mây giăng lem xê tà hoàng hôn từ ấy lâu kêu thay tên của người gọi nhau là cố nhân ai ơi đau thắt lòng từng thương lấy nhau như bóng với hình ai vừa nói câu yêu thương tôi đây mà vậy ai vừa bước chân lên xe hoa đi rồi trời thu buồn kéo mưa theo mây mờ giăng lối lấy em tôi đi rồi người ở đâu người ở đâu anh kiếm tiềm dáng ai đã phai lâu rồi giờ nơi đâu về nơi đâu anh kiếm tiềm dáng ai đã phai mờ phai chiều thu họa bóng em mây giăng lem xê tà hoàng hôn từ ấy lâu kêu thay tên của người gọi nhau là cố nhân ai ơi đau thắt lòng từng thương lấy nhau như bóng với hình ai vừa nói câu yêu thương tôi đây mà vậy ai vừa bước chân lên xe hoa đi rồi trời thu buồn kéo mưa theo mây mờ giăng lối lấy em tôi đi rồi,đêm tiếng thở than đớn đau ôm tro tàn dở dang đi thương sao nỡ sao đành rời duyên tình ta trái ngang chân men say đớn đau cố che giọt lệ tuôn cầm chim quý tựa lầu son thân hèn niềm đau xót mây nao hoàng hôn ngóng trông hoa dòng đời trôi đi trông chiều thu họa bóng mây giăng lem xê tà hoàng hôn kêu thay gọi cố nhân đau thắt thương bóng hình câu yêu thương chân xe hoa đi trời thu buồn kéo mưa mây mờ giăng lối đi tình đời hợp tan mắt ưu sầu nụ cười nao phai cành hồng trao đau tình sao quên mau ngóng mong chờ ta ngờ đau man mác sương mờ tựa tranh phai màu lầu son đời thấu sầu tình trách thân ngu khờ trao tình yêu ngu ngơ thu nhạt phai tình tàn chiều hoàng hôn vội vàng trách trách thân hàn ly rượu cay thầm cười bàn buông ta ôm nỗi đau chiều thu họa bóng mây giăng lem xê tà hoàng hôn kêu thay gọi cố nhân đau thắt thương bóng hình câu yêu thương chân xe hoa đi trời thu buồn kéo mưa mây mờ giăng lối đi kiếm tiềm dáng phai kiếm tiềm dáng phai mờ phai chiều thu họa bóng mây giăng lem xê tà hoàng hôn kêu thay gọi cố nhân đau thắt thương bóng hình câu yêu thương chân xe hoa đi trời thu buồn kéo mưa mây mờ giăng lối đi
2.0,mỗi lần nhớ người đã mất tim lại đau nhói,mất tim đau nhói
2.0,mình chưa gặp bà nội lần nào hết vì nội mình mất năm ba mình tuổi còn còn ông nội mình mất năm mình tuổi,chưa nội nội mất nội mất
2.0,tội bà ngoại quá,tội ngoại
2.0,mong có nhiều người như này,mong
2.0,mẹ chồng cứ hỏi mà không biết trả lời sao,mẹ chồng sao
2.0,tạm biệt lo âu hài lòng với những gì mình đang có phải tự tin giám đối mặt thử thách bớt mong cầu tránh lé có kinh nghiệm đối ứng trí tuệ,tạm biệt lo âu hài giám đối mặt thử thách bớt mong cầu lé kinh nghiệm đối ứng trí tuệ
2.0,trời nghe xong thấy mình tiêu cực thật,trời xong tiêu cực
2.0,tôi chỉ muốn được về quê nằm võng nghe gió và quên đi hết mệt mỏi,quê nằm võng gió quên đi mệt mỏi
2.0,ông ngoại mình mất hơn tuần rồi xin chỉ buồn cùng giá đình,ngoại mất tuần buồn giá đình
2.0,phân tích hay quá,phân tích hay
2.0,uống thuoc benh roi loan lên can kho xuống can minh rat mệt mỏi về chuyen nay không biết uống thuốc giảm cân có được không co ảnh hưởng không,uống thuoc benh roi loan can kho can minh rat mệt mỏi chuyen uống thuốc cân co ảnh hưởng
2.0,chắc là bị đột quỵ,đột quỵ
2.0,quá khó để lật kèo này,lật kèo
2.0,cuộc sống cứ cuốn đi mà quên mất ba mẹ đang già đi,sống đi quên mất mẹ già đi
2.0,người ta đã tái bản để tạo nên bài hát trong sáng hơn rồi cứ đào lại bản gốc chi cho trẻ em nó coi rồi nó sợ cứ câu view,ta tái bản hát đào bản gốc chi trẻ coi sợ câu view
2.0,chú ủn đừng có liều mạng mà chết thê thảm,ủn đừng liều mạng chết thê thảm
2.0,về cũng chết dần chết mòn thôi thế giới cũ đã được mấy con quái vào thay thế có thoát hay không cũng vậy,chết dần chết mòn giới cũ mấy quái thay thoát
2.0,tội nghiệp trần ngôn từ,tội nghiệp trần ngôn
2.0,mình xem mà rơi lệ,rơi lệ
2.0,mong bề trên che chở cho em mau hết bệnh,mong bề che chở mau bệnh
2.0,ở quê có khổ nhưng còn có người thân còn đây chỉ có mình,quê khổ thân
2.0,không đủ tiền đổ xăng đạp xe giữa nắng mà nước mắt chực rơi,tiền đổ xăng đạp xe nắng mắt chực rơi
2.0,có tháng phải vay bạn k để sống hẹn trả sau khi có lương,vay k sống hẹn lương
2.0,căn phòng người ấy từng ở giờ lạnh lẽo,phòng lạnh lẽo
2.0,tình nhiều khi không mà có tình nhiều lúc có như o he he,tình tình o he he
2.0,áp lực học hành khiến tôi muốn biến mất,áp lực học hành biến mất
2.0,đêm nào cũng tính toán chi tiêu đến tận khuya,đêm toán chi tiêu tận khuya
2.0,xin chia buồn cùng gia đình chị bây giờ ông của em đang bị ốm mà chị ba của em đang đi học xa và chị đã không thể về thăm ông và cả nhà được vì quá bận,chia buồn gia đình ốm đi học thể thăm bận
2.0,chia buồn cùng gia đình,chia buồn gia đình
2.0,có những ngày tôi chỉ biết nhìn trần nhà,trần
2.0,mỗi lần nghe lại giọng nói ấy lòng lại quặn thắt,giọng quặn thắt
2.0,chia buồn cùng gia quyến ạ,chia buồn gia quyến
2.0,trễ tiếng rồi,trễ tiếng
2.0,mệt mỏi,mệt mỏi
2.0,một tô mì ăn dở dang cũng khiến mình rơi nước mắt vì tủi,tô mì dở dang rơi mắt tủi
2.0,dù nghèo nhưng không đánh mất lòng tự trọng,nghèo đánh mất trọng
2.0,cả ngày học hành khiến tôi kiệt quệ,học hành kiệt quệ
2.0,rất mệt,mệt
2.0,bộ binh đang di chuyển gặp đối phương tấn công bằng đạn chùm thì coi như xóa sổ,binh di đối phương công đạn chùm coi xóa sổ
2.0,gia đình là tất cả,gia đình
2.0,chưa từng nghĩ sẽ phải sống thiếu người đó,sống
2.0,coi trận này mới thấy vừa trách hlv cũng vừa trách các cầu thủ cầm bóng còn hog vững nói chi mà đi wc,coi trận trách hlv trách cầu thủ cầm bóng hog vững chi đi wc
2.0,ngày hôm nay quá buồn ngày bể nợ mọi người cười khinh tránh mặt làm sao để trả được nợ đây hỡi trời ơi,hôm buồn bể nợ cười khinh mặt nợ hỡi trời
2.0,chẳng điều gì làm tớ quá buồn cũng chẳng quá vui tớ vẫn luôn cười nhưng khi một mình tớ sẽ tự ôm lấy mình ngồi cuộn tròn,chẳng buồn chẳng vui cười ôm cuộn tròn
2.0,ước gì mình tàng hình để được ngắm bình minh ngắm mây ngắm biển tận hưởng sự bình yên và tự do mà đó giờ tôi không có,ước tàng hình ngắm bình minh ngắm mây ngắm biển tận hưởng bình yên
2.0,lúc xe lăn bánh rời bến quê là lúc nước mắt bắt đầu rơi,xe lăn bánh rời bến quê mắt rơi
2.0,má buồn v má,má buồn v má
2.0,từng nghĩ sẽ bỏ cuộc nhưng chỉ cần nghĩ đến mẹ là lại bước tiếp,mẹ tiếp
2.0,trong mắt người khác là kì thi bình thường còn trong mắt tôi thì như này,mắt kì thi bình mắt
2.0,điểm mà lấy trừ ai mà chơi lại bả,trừ bả
2.0,cảm ơn bài viết của chương trình cảm ơn bạn đọc và chia sẻ tôi xin khiêm tốn học hỏi,cảm ơn viết chương trình cảm ơn đọc khiêm tốn học
2.0,nó củng ảnh thưởng rất lớn chứ bộ,củng ảnh thưởng
2.0,đại học khoa học xã hội và nhân văn chắc lun,đại học khoa học xã hội nhân văn lun
2.0,cái bản vẽ như cô dâu chú rể làm như cây nghe như cái bàn thờ vậy trời,bản vẽ dâu rể bàn thờ trời
2.0,trương quang ninh cung chat,trương quang ninh cung chat
2.0,em năm nay tuổi cũng còn là sinh viên nhưng em bị nản và đang có í định muốn buông bỏ đọc từng comment câu chuyện của mọi người em cảm thấy mình kém quá không có í chí vươn lên không dám đối diện với chính bản thân mình nỗi sợ của mình ngày càng em thấy mình chỉ mặc thời gian trôi qua không muốn đến trường loay hoay kiếm việc làm thêm ba mẹ người thân gọi không dám bắt máy em không dám đối diện với gia đình mình ngay lúc này tâm trí em chán nản cứ muốn đi đâu đó thật xa như chạy trốn khỏi sài gòn này nhưng mà định đi thế đến bao giờ không lẽ định chạy trốn cả đời này hay sao quay về nhà thì càng không được ở lại thì không tìm ra đường đi em cảm thấy rối bời trong suy nghĩ của mình cảm ơn mọi người đã đọc nếu hữu duyên mong nhận được những lời chia sẻ thật lòng của mọi người em cảm ơn rất nhiều,sinh viên nản í định buông đọc comment câu kém í chí vươn dám đối diện thân nỗi sợ mặc trôi trường loay hoay kiếm mẹ thân gọi dám bắt máy dám đối diện gia đình tâm trí chán nản đi chạy trốn sài gòn định đi lẽ định chạy trốn đời đường đi rối bời suy cảm ơn đọc hữu duyên mong cảm ơn
2.0,thò tay mà bứt cọng ngò thương em đứt ruột giả đò ngó lơ,thò bứt cọng ngò thương đứt ruột giả đò ngó lơ
2.0,mẹ gọi hỏi có mệt không mà không dám nói thật,mẹ gọi mệt dám
2.0,mỗi ngày trôi qua chỉ toàn buồn bã,trôi toàn buồn bã
2.0,thành phố có siêu thị có rạp chiếu phim nhưng không có bà ngồi chờ trước hiên,thành phố siêu thị rạp chiếu phim chờ hiên
2.0,có ai biết cái ảnh nữ đeo kính trong video này là ai không nhìn như amber heard ấy,ảnh nữ đeo kính video amber heard
2.0,mê phim này,mê phim
2.0,cảm ơn chương trình,cảm ơn chương trình
2.0,bà nội của mình cũng vừa mất mình rất hiểu nỗi đau này mặc dù mình mới lớp,nội mất nỗi đau mặc lớp
2.0,tớ nghe podcast này sau năm nó được phát hành tờ vừa nghe vừa khóc khóc không phải vì nó quá hay cũng không phải nó chạm tới trái tim tớ mà chỉ là tớ khóc vì nghe giọng cậu và cách cậu dịu dàng trong podcast này chắc cũng do tớ vừa bị bố mắng vì lí do vô cùng vô lí nữa,podcast phát hành tờ khóc khóc hay chạm trái tim khóc giọng dịu dàng podcast bố mắng lí vô vô lí
2.0,mỗi sáng thức dậy là một lần tự nhủ phải cố gắng để về quê,thức dậy nhủ cố gắng quê
