label,comment,tokens
2.0,mỗi lần nghĩ đến tuổi già của mẹ là lại rơi nước mắt,mỗi lần nghĩ đến tuổi già của mẹ là lại rơi nước_mắt
2.0,tội mấy đứa nhỏ chỉ toàn gặp ác mẫu,tội mấy đứa nhỏ chỉ toàn gặp ác_mẫu
2.0,có hôm mượn bạn tiền chỉ để mua chai nước mắm,có hôm mượn bạn tiền chỉ để mua chai nước_mắm
2.0,cảm xúc mình hỗn độn sau khi thi xong mình cứ luôn dằn vặt những lỗi sai vớ vẩn tớ mắc kẹt trong dòng suy nghĩ tớ cảm thấy bản thân kém cỏi tớ buồn lắm mọi người hỏi tớ có thi tốt không ổn không tớ cũng chỉ biết giả bộ ổn rồi liên tục cười để quên đi nỗi dằn vặt ấy tớ thật sự mệt thật sự mắc kẹt tớ muốn thoát ra lắm nhưung chừng nào chưa biết điểm tớ còn cảm giác tội lỗi sâu thẳm trong mình tớ không biết ph làm sao nữa cứu tớ với,cảm_xúc mình hỗn_độn sau khi thi xong mình cứ luôn dằn_vặt những lỗi sai vớ vẩn tớ mắc_kẹt trong dòng suy_nghĩ tớ cảm_thấy bản_thân kém_cỏi tớ buồn lắm mọi người hỏi tớ có thi tốt không ổn không tớ cũng chỉ biết giả_bộ ổn rồi liên_tục cười để quên đi nỗi dằn_vặt ấy tớ thật_sự mệt thật_sự mắc_kẹt tớ muốn thoát ra lắm nhưung_chừng nào chưa biết điểm tớ còn cảm_giác tội_lỗi sâu_thẳm trong mình tớ không biết ph làm_sao nữa cứu_tớ với
2.0,tôi đang tuổi mong sau khi năm nữa tôi tuổi cuộc sống sẽ khác,tôi đang tuổi mong sau khi năm nữa tôi tuổi cuộc_sống sẽ khác
2.0,sợ phim xsợ nhạc,sợ phim xsợ nhạc
2.0,học hoài mà điểm vẫn thấp,học hoài mà điểm vẫn thấp
2.0,tôi chẳng còn bạn thân để tâm sự,tôi chẳng còn bạn thân để tâm_sự
2.0,bà mình mất gần năm rồi,bà mình mất gần năm rồi
2.0,sao có chuyên đau lòng quá vây xin chia buồn cùng gia dình cháu,sao có chuyên đau_lòng quá vây xin chia buồn cùng gia_dình cháu
2.0,bố mẹ gọi nói nhà có giỗ mà chỉ biết ậm ừ cho qua,bố_mẹ gọi nói nhà có giỗ mà chỉ biết ậm_ừ cho_qua
2.0,có người yêu thương ở quê mà lại phải sống cô đơn nơi phố,có người yêu_thương ở quê mà_lại phải sống cô_đơn nơi phố
2.0,kim pải xem lại đừng quá côn đồ,kim pải xem_lại đừng quá côn_đồ
2.0,dọa dẫm thôi rồi ít nhiều cũng có trả lại ít mà giảm án chết là hết xóa ai đúng ai sai,dọa_dẫm thôi rồi ít_nhiều cũng có trả lại ít mà giảm án chết là hết xóa ai đúng ai sai
2.0,gia đình thật quá biến thái,gia_đình thật quá biến_thái
2.0,nge không lối ra,nge không lối ra
2.0,ở quê có nghèo nhưng còn có tiếng cười còn ở đây chỉ có sự chịu đựng,ở quê có nghèo nhưng còn có tiếng cười còn ở đây chỉ có sự chịu_đựng
2.0,trước đây barca không quyết liệt giữ chân được xavi simons là sai lầm,trước_đây barca không quyết_liệt giữ_chân được xavi simons là sai_lầm
2.0,sống giữa người dưng chẳng bằng được một ánh mắt của mẹ,sống giữa người_dưng chẳng bằng được một ánh mắt của mẹ
2.0,thèm cảm giác ngủ trưa bên tiếng quạt mo và tiếng chim hót,thèm cảm_giác ngủ trưa bên tiếng quạt_mo và tiếng chim hót
2.0,bởi việt nam gì cũng có nên giò ai cũng nói việt nam giò nhiều đại gia nhiều người giầu hồi xưa rất ít giò hiểu tại sao thời nay khác ngày xưa ròi chứ mọi người,bởi việt_nam gì cũng có nên giò ai cũng nói việt_nam giò nhiều đại_gia nhiều người giầu hồi xưa rất ít giò hiểu tại_sao thời nay khác ngày_xưa ròi chứ mọi người
2.0,giấc mơ đêm qua lại thấy người đó đứng cười,giấc mơ đêm qua_lại thấy người đó đứng cười
2.0,thật sự mình thấy dạo này toàn mấy tin thông báo về sức khỏe của học sinh không tốt chứng tỏ học sinh ngày nay ít hoạt động thể thao đi chơi đây đó nên mới có những trường hợp như vậy thật đáng sợ bệnh tật đang ngày càng được trẻ hóa mong em học sinh trong video siêu sanh giải thoát xin chia buồn cùng gia đình em,thật_sự mình thấy dạo này toàn mấy tin thông_báo về sức_khỏe của học_sinh không tốt chứng_tỏ học_sinh ngày_nay ít hoạt_động thể_thao đi chơi đây_đó nên mới có những trường_hợp như_vậy thật đáng sợ bệnh_tật đang ngày_càng được trẻ hóa mong em học_sinh trong video siêu_sanh giải_thoát xin chia buồn cùng gia_đình em
2.0,khi gặp áp lực chênh vênh trong công việc cuộc sống và tình cảm thì cô gái bên tôi bao nhiêu năm chọn thứ dể buôn bỏ nhất là tình cảm và tìm được giải phảt vẹn đôi đường là tìm ai đó giàu có hơn,khi gặp áp_lực chênh_vênh trong công_việc cuộc_sống và tình_cảm thì cô gái bên tôi bao_nhiêu năm chọn thứ dể buôn bỏ nhất là tình_cảm và tìm được giải phảt_vẹn đôi đường là tìm ai đó giàu_có hơn
2.0,bước ra khỏi cổng trọ là áp lực đè nặng lên vai,bước ra khỏi cổng trọ là áp_lực đè nặng lên vai
2.0,bởi vậy giờ lớp lớp là các cháu mất trinh hết rồi bầu bì đẻ chữa chây chét tùm lum đẻ con gái rất khổ,bởi_vậy giờ lớp_lớp là các cháu mất trinh_hết rồi bầu_bì đẻ chữa chây chét tùm_lum đẻ con gái rất khổ
2.0,làm được tiền nhưng lòng thì cạn dần cảm xúc,làm được tiền nhưng lòng thì cạn dần cảm_xúc
2.0,dân khổ dân đối là trách nhiệm của lãnh đạo,dân khổ dân_đối là trách_nhiệm của lãnh_đạo
2.0,đã xem video này của anh quéo từ hồi nó mới ra mắt năm lúc đó em còn đang là sinh viên và xem trước cũng như tự nhủ rằng mình sẽ chuẩn bị đủ để đối mặt với nó nhưng đến bây giờ ngày sau khi đã đi làm được năm chưa bao giờ em lại thấy nó vô định tuyệt vọng và trống rỗng như vậy để hàng giờ trên công ty trôi qua cách vô nghĩa lung lay và mơ hồ về năng lực của bản thân yếu đuối trước vòng xoáy bè phái của chính trị văn phòng là con cừu đen không thân thiết được ai trong căn phòng người này em lại quay về tìm kiếm lối thoát cho mớ bòng bong trong tâm trí rối loạn này của mình và rồi em lại tìm tới anh quéo sau quãng thời gian gần đây không còn theo dõi anh để rồi nhận ra video này của anh vẫn ở đó như để em quay trở lại tìm kiếm và tìm cách cứu chữa cho tình trạng hiện tại của mình cảm ơn anh rất nhiều không biết nói lời nào để thể hiện được rằng mặc dù chưa từng gặp anh lần nào nhưng anh lúc nào cũng ở đó chìa tay ra để giúp đỡ khi bản thân em gặp khó khăn trong tâm trí cảm ơn anh nhiều lắm ước muốn của em trong thâm tâm này là muốn làm một người thầy muốn chia sẻ những điều tốt đẹp về cảm xúc sự ấm áp về tình cảm và tinh thần mà mình có thể trao cho lẫn nhau dù em đang làm trong ngành kiểm toán một ngành khô khan về lý tính và số liệu chắc có lẽ em nên tìm đến việc học nghiệp vụ sư phạm để có bước đầu tiên trong việc trở thành người thầy có thể hơi ích kỷ nhưng mình viết lên đây để giãi bày những bế tắc đã kìm nén trong thời gian qua của mình mong rằng anh quéo hoặc đội ngũ admin cũng như mọi người nếu có thể đọc được có thể chia sẻ vài lời với nhau như những người bạn tâm sự với nhau nhé đà nẵng ngày nam,đã xem video này của anh quéo từ hồi nó mới ra_mắt năm lúc đó em còn đang là sinh_viên và xem trước cũng như tự_nhủ rằng mình sẽ chuẩn_bị đủ để đối_mặt với nó nhưng đến bây_giờ ngày sau khi đã đi làm được năm chưa bao_giờ em lại thấy nó vô_định tuyệt_vọng và trống_rỗng như_vậy để hàng giờ trên công_ty trôi qua cách vô_nghĩa lung_lay và mơ_hồ về năng_lực của bản_thân yếu_đuối trước vòng xoáy bè_phái của chính_trị văn_phòng là con cừu đen không thân_thiết được ai trong căn phòng người này em lại quay về tìm_kiếm lối_thoát cho mớ bòng_bong trong tâm_trí rối_loạn này của mình và rồi em lại tìm tới anh quéo sau quãng thời_gian gần đây không còn theo_dõi anh để rồi nhận ra video này của anh vẫn ở đó như để em quay trở_lại tìm_kiếm và tìm cách cứu_chữa cho tình_trạng hiện_tại của mình cảm_ơn anh rất nhiều không biết nói lời nào để thể_hiện được rằng mặc_dù chưa từng gặp anh lần nào nhưng anh lúc_nào cũng ở đó chìa tay ra để giúp_đỡ khi bản_thân em gặp khó_khăn trong tâm_trí cảm_ơn anh nhiều lắm ước_muốn của em trong thâm_tâm này là muốn làm một người thầy muốn chia_sẻ những điều tốt_đẹp về cảm_xúc sự ấm_áp về tình_cảm và tinh_thần mà mình có_thể trao cho lẫn nhau dù em đang làm trong ngành kiểm_toán một ngành khô_khan về lý_tính và số_liệu chắc có_lẽ em nên tìm đến việc học nghiệp_vụ sư_phạm để có bước đầu_tiên trong việc trở_thành người thầy có_thể hơi_ích_kỷ nhưng mình viết lên đây để giãi_bày những bế_tắc đã kìm_nén trong thời_gian qua của mình mong rằng anh quéo hoặc đội_ngũ admin cũng như mọi người nếu có_thể đọc được có_thể chia_sẻ vài lời với nhau như những người bạn tâm_sự với nhau nhé đà_nẵng ngày nam
2.0,tôi đang bệnh ung thư giai đoạn cuối còn thiếu nợ chồng chất nữa bây giờ chỉ ướt được có tiền trả nợ rồi chết chứ bệnh đau không sợ cầu mẹ quân âm cứu khổ cứu nạn cho con trả nợ rồi con chết mới nhắm mắt,tôi đang bệnh ung_thư giai_đoạn cuối còn thiếu nợ chồng_chất nữa bây_giờ chỉ ướt được có tiền trả nợ rồi chết chứ bệnh đau không sợ cầu mẹ quân âm_cứu khổ cứu nạn cho con trả nợ rồi con chết mới nhắm_mắt
2.0,chỉ ước có thể quay lại hôm ấy để nói lời tạm biệt,chỉ ước có_thể quay lại hôm ấy để nói lời tạm_biệt
2.0,nguyện cho những ai khi xem được video này tất cả đều được bình an khỏe mạnh cầu gì cũng được nguyện gì cũng thành ai cô đơn sẽ có nơi nương tựa ai nghèo khổ sẽ thoát nghèo ai không có cơm no áo mặc hàng ngày nguyện sẽ được đủ đầy nam mô anh di đà phật,nguyện cho những_ai khi xem được video này tất_cả đều được bình_an khỏe mạnh cầu gì cũng được nguyện gì cũng thành ai cô_đơn sẽ có nơi nương_tựa ai nghèo_khổ sẽ thoát nghèo ai không có cơm no áo mặc hàng ngày_nguyện sẽ được đủ đầy nam_mô anh di_đà phật
2.0,giờ nghe thấy giọng thằng này lạnh người,giờ nghe thấy giọng thằng này lạnh người
2.0,ăn rau luộc cơm nguội qua ngày nhưng vẫn cố không xin thêm,ăn rau luộc cơm nguội qua_ngày nhưng vẫn cố không xin thêm
2.0,bà nội mình cũng mới mất,bà nội mình cũng mới mất
2.0,mình xem mà khóc nức nở lun,mình xem mà khóc nức_nở lun
2.0,muốn mua liều,muốn mua liều
2.0,mình đang hc lớp chuẩn bị bước sang lớp nên sẽ không được nhau nữa nhưng mình vẫn lun nhớ về cậu và cuối cùng mình cũng không có dũng cảm để nói lời thật lòng cho cậu ấy biết cảm ơn cậu đã cho mình trải nghiệm được thích một người là gì,mình đang hc_lớp chuẩn_bị bước sang lớp nên sẽ không được nhau nữa nhưng mình vẫn lun nhớ về cậu và cuối_cùng mình cũng không có dũng_cảm để nói lời thật lòng cho cậu ấy biết cảm_ơn cậu đã cho mình trải_nghiệm được thích một người là gì
2.0,lần đầu mình nghe bài này là lúc mình học đàn có đánh bài này và mình chưa bt gì về bài thiếu nhi gì gì đó này nhưng lúc đó thầy dạy đàn nói là nhạc buồn xong mình cũng thắc mắc rồi về mở lên thì thấy cái này đầu tiên rồi kế bên là bài thiếu nhi trông rất tươi vui nhưng mình nghe cái số và thấy cô bé đó là con gái của người nông dân và cô bé đó đuối nước rồi khi ông phát hiện thì cô bé đã mãi mãi rời xa,lần đầu mình nghe bài này là lúc mình học đàn có đánh_bài này và mình chưa bt gì về bài thiếu_nhi gì gì đó này nhưng lúc đó thầy dạy đàn nói là nhạc buồn xong mình cũng thắc_mắc rồi về mở lên thì thấy cái này đầu_tiên rồi kế bên là bài thiếu_nhi trông rất tươi_vui nhưng mình nghe cái số và thấy cô bé đó là con gái của người nông_dân và cô bé đó đuối nước rồi khi ông phát_hiện thì cô bé đã mãi_mãi rời xa
2.0,đèn phố sáng rực nhưng không ấm bằng ánh đèn dầu quê nhà,đèn phố sáng_rực nhưng không ấm bằng ánh đèn dầu quê nhà
2.0,đuổi cô giáo này ngay lập tức tạm giam để điều tra không cần đợi điều tra rồi mới đuổi vì đã có camera ghi hình rồi còn chần chừ gì nữa,đuổi cô_giáo này ngay_lập_tức tạm giam để điều_tra không cần đợi điều_tra rồi mới đuổi vì đã có camera ghi_hình rồi còn chần_chừ gì nữa
2.0,tôi luôn bị so sánh với người anh hoàn hảo,tôi luôn bị so_sánh với người anh hoàn_hảo
2.0,tôi đã hiểu tại sao hồi tôi tuổi có đứa trong lớp tôi khóc vì chỉ có,tôi đã hiểu tại_sao hồi tôi tuổi có đứa trong lớp tôi khóc vì chỉ có
2.0,em tham gia thi hsg trên trường thời gian làm bài không nhiều nên bài của em không được tốt khi có điểm em đậu nhưng điểm không cao mẹ em mắng em rất nhiều rồi còn so sánh em với bạn khác rất nhiều em đang cố gắng làm bài tốt nhất có thể nhưng mẹ em chỉ chăm chăm vào kết quả của người khác mà mẹ không biết là đã mấy đêm em không ngủ mấy bữa sáng em không ăn em cảm thấy như mọi cố gắng của em chỉ đổi lại được lời trách mắng của mẹ em uất ức và khóc rất nhiều em không biết phải làm gì để mẹ hiểu cho em nữa,em tham_gia thi_hsg trên trường thời_gian làm bài không nhiều nên bài của em không được tốt khi có điểm em đậu nhưng điểm không cao mẹ em mắng em rất nhiều rồi còn so_sánh em với bạn khác rất nhiều em đang cố_gắng làm bài tốt nhất có_thể nhưng mẹ em chỉ chăm_chăm vào kết_quả của người khác mà mẹ không biết là đã mấy đêm em không ngủ mấy bữa sáng em không ăn em cảm_thấy như mọi cố_gắng của em chỉ đổi lại được lời trách_mắng của mẹ em uất_ức và khóc rất nhiều em không biết phải làm gì để mẹ hiểu cho em nữa
2.0,mừng quá cầu mong cho bé huyền khõe mạnh lại bình thường,mừng quá cầu_mong cho bé huyền_khõe mạnh lại bình_thường
2.0,thời đại bây giờ đàn bà nó ngoại tình quá nhiều không chung thuỷ với chồng đâu bây giờ nhiều hoàn cảnh toàn là con hoang xen ngang vào mà chồng không biết,thời_đại bây_giờ đàn_bà nó ngoại_tình quá nhiều không chung_thủy với chồng đâu bây_giờ nhiều hoàn_cảnh toàn là con hoang_xen ngang vào mà chồng không biết
2.0,ích liệu khang giá bao nhiêu một hộp ạ,ích_liệu khang_giá bao_nhiêu một hộp ạ
2.0,cô mình thì cây cây cây cây cây cây cây cây cây cây được thưởng quà xịncô mình đánh đau lắm,cô mình thì cây cây cây cây cây cây cây cây cây cây được thưởng quà xịncô mình đánh đau lắm
2.0,trước tầm cấp cả trường tui có cả tui từng chứng kiến ông chơi ngu nhảy từ tầng của trường xuống ಡ ʖ ಡ,trước tầm cấp cả trường tui có cả tui từng chứng_kiến ông chơi ngu_nhảy từ tầng của trường xuống ಡ_ʖ ಡ
2.0,bão yagi nè,bão yagi nè
2.0,thành phố có thể cho bạn nhiều thứ trừ cảm giác thuộc về,thành_phố có_thể cho bạn nhiều thứ_trừ cảm_giác thuộc về
2.0,ước tất cả mọi người được nghe như mình,ước tất_cả mọi người được nghe như mình
2.0,mong em an toàn gia đình đừng lo quá,mong em an_toàn gia_đình đừng lo quá
2.0,khá tệ,khá tệ
2.0,lúc học thì áp lực lúc nghỉ thì lo sợ,lúc học thì áp_lực lúc nghỉ thì lo_sợ
2.0,goodluck hôm nay được ăn mỗi con lo,goodluck hôm_nay được ăn mỗi con lo
2.0,vid đầu xem tiếp ở đâu,vid đầu xem tiếp ở đâu
2.0,bà ở ngoài background là melody mark đúng không,bà ở ngoài background là melody mark đúng không
2.0,tiếp cận khong dụng ý xấu loài vạt sẽ nhận ra,tiếp_cận khong_dụng ý xấu loài vạt sẽ nhận ra
2.0,ăn cơm chan nước tương nhưng vẫn cố tỏ ra ổn khi bạn hỏi thăm,ăn cơm chan nước_tương nhưng vẫn cố tỏ ra ổn khi bạn hỏi_thăm
2.0,xau khung dien nguuuu,xau khung dien nguuuu
2.0,giống nước nào gần đây ta,giống nước nào gần đây ta
2.0,người ta bảo đi xa để trưởng thành nhưng tôi chỉ thấy mình mất dần cảm xúc,người ta bảo đi xa để trưởng_thành nhưng tôi chỉ thấy mình mất dần cảm_xúc
2.0,cậu chuyện người bố bỏ đi vì mẹ quá quắt kg biết quan tâm chia sẻ vói chồng sao giống hoàn cảnh nhà tôi quá vậy người phụ nữ này giống hệt tính cách mẹ tôi nhiều lúc con cái cũng cảm thây chán nản ngán ngẩm,cậu chuyện người bố bỏ đi vì mẹ quá quắt kg biết quan_tâm chia_sẻ vói chồng sao giống hoàn_cảnh nhà tôi quá vậy người phụ_nữ này giống_hệt tính_cách mẹ tôi nhiều lúc con_cái cũng cảm_thây chán_nản ngán_ngẩm
2.0,tôi không muốn lớn lên nữa,tôi không muốn lớn lên nữa
2.0,sáng nào cũng vội vàng đi làm tối về chỉ muốn khóc,sáng nào cũng vội_vàng đi làm tối về chỉ muốn khóc
2.0,quê nghèo nhưng ấm lòng còn thành phố giàu mà lạnh lẽo,quê nghèo nhưng ấm lòng còn thành_phố giàu mà lạnh_lẽo
2.0,đg thất tình nghe xong chạm đáy nỗi đau luôn đang đứng trên nỗi đau xong h nằm bẹp dí luôn,đg thất_tình nghe xong chạm đáy nỗi đau luôn đang đứng trên nỗi đau xong h nằm_bẹp dí luôn
2.0,trời ơi trường cũ của tôi,trời ơi trường cũ của tôi
2.0,ba mẹ ngày xưa cực khổ nuôi mình giờ chỉ mong báo đáp,ba_mẹ ngày_xưa cực_khổ nuôi mình giờ chỉ mong báo đáp
2.0,người từng là cả thế giới giờ đã đi xa,người từng là cả thế_giới giờ đã đi xa
2.0,cho mình hỏi bị rối loạn lo âu khám ở đâu ở sài gòn à,cho mình hỏi bị rối_loạn lo_âu_khám ở đâu ở sài gòn à
2.0,vé vớt vào đến đây là tốt rồi,vé vớt vào đến đây là tốt rồi
2.0,video này như em đang hiện tại ạ,video này như em đang hiện_tại ạ
2.0,làm sao ngược dòng được thời có thì đỡ được chứ thì thôi bó tay,làm_sao ngược dòng được thời có thì đỡ được chứ thì thôi bó_tay
2.0,người thành phố đi vội quá chẳng ai dừng lại hỏi bạn có ổn không,người thành_phố đi vội quá chẳng ai dừng lại hỏi bạn có ổn không
2.0,đêm nghe tiếng lòng thở than ai vì ai mà mang đớn đau ôm những tro tàn dở dang đi về nơi từng thương lấy nhau sao nỡ sao đành rời xa để duyên tình ta giờ đây trái ngang chân bước đi tìm men say để cho lòng tôi đớn đau vô vàn tôi cố che giọt lệ tuôn em cùng ai cầm tay bước qua chim quý phải tựa lầu son thân hèn bên niềm đau xót xa theo áng mây về nơi nao đây hoàng hôn mình ai ngóng trông hoa cuốn theo dòng đời trôi đi về đâu tôi ngồi trông theo chiều thu họa bóng em mây giăng lem xê tà hoàng hôn từ ấy lâu kêu thay tên của người gọi nhau là cố nhân ai ơi đau thắt lòng từng thương lấy nhau như bóng với hình ai vừa nói câu yêu thương tôi đây mà vậy ai vừa bước chân lên xe hoa đi rồi trời thu buồn kéo mưa theo mây mờ giăng lối lấy em tôi đi rồi tình đời hợp tan mắt ai ưu sầu nụ cười ngày nao đã phai lâu rồi cành hồng vừa trao mà giờ này lòng mình đau giờ thì tình này về đâu sao phải quên thật mau giờ thì còn ai ngóng ai mong chờ ngày người về nơi ấy ta không ngờ vì người mà đau man mác theo sương mờ lòng người giờ này tựa một bức tranh phai màu bên lầu son còn ai trên đời hiểu thấu giờ này sầu tình tự mình trách thân ngu khờ trao tình yêu cho ai bây giờ ngu ngơ một ngày thu nhạt phai tình tàn chiều hoàng hôn vì ai vội vàng lòng nặng mang trách ai trách thân cơ hàn nhìn vào ly rượu cay thầm cười giờ bàn tay người buông thật rồi thì mình ta ôm nỗi đau về sau chiều thu họa bóng em mây giăng lem xê tà hoàng hôn từ ấy lâu kêu thay tên của người gọi nhau là cố nhân ai ơi đau thắt lòng từng thương lấy nhau như bóng với hình ai vừa nói câu yêu thương tôi đây mà vậy ai vừa bước chân lên xe hoa đi rồi trời thu buồn kéo mưa theo mây mờ giăng lối lấy em tôi đi rồi người ở đâu người ở đâu anh kiếm tiềm dáng ai đã phai lâu rồi giờ nơi đâu về nơi đâu anh kiếm tiềm dáng ai đã phai mờ phai chiều thu họa bóng em mây giăng lem xê tà hoàng hôn từ ấy lâu kêu thay tên của người gọi nhau là cố nhân ai ơi đau thắt lòng từng thương lấy nhau như bóng với hình ai vừa nói câu yêu thương tôi đây mà vậy ai vừa bước chân lên xe hoa đi rồi trời thu buồn kéo mưa theo mây mờ giăng lối lấy em tôi đi rồi,đêm nghe tiếng lòng thở than ai vì ai mà mang đớn_đau ôm những tro tàn dở_dang đi về nơi từng thương lấy nhau sao nỡ sao đành rời xa để duyên_tình ta giờ_đây trái ngang chân bước_đi tìm men say để cho lòng tôi đớn_đau vô_vàn tôi cố che giọt_lệ tuôn em cùng ai cầm tay bước qua chim quý phải tựa lầu son_thân hèn bên niềm đau_xót_xa theo áng mây về nơi nao đây hoàng_hôn mình ai ngóng trông hoa cuốn theo dòng đời trôi đi về đâu tôi ngồi trông theo chiều thu họa bóng em mây giăng lem xê_tà_hoàng_hôn từ ấy lâu kêu thay tên của người gọi nhau là cố_nhân ai ơi đau thắt_lòng từng thương lấy nhau như bóng với hình ai vừa nói câu yêu_thương tôi đây mà vậy ai vừa bước chân lên xe_hoa đi rồi trời thu buồn kéo mưa theo mây mờ giăng lối lấy em tôi đi rồi tình_đời hợp_tan mắt ai ưu_sầu nụ cười ngày nao đã phai lâu rồi cành hồng vừa trao mà giờ này lòng mình đau giờ thì tình này về đâu sao phải quên thật mau giờ thì còn ai ngóng ai mong_chờ ngày người về nơi ấy ta không ngờ vì người mà đau_man mác theo sương mờ_lòng người giờ này tựa một bức tranh phai màu bên lầu son còn ai trên đời hiểu thấu giờ này sầu_tình tự mình trách_thân ngu khờ trao tình_yêu cho ai bây_giờ ngu_ngơ một ngày thu nhạt phai_tình tàn_chiều hoàng_hôn vì ai vội_vàng lòng nặng mang trách ai trách_thân cơ_hàn nhìn vào ly rượu cay_thầm cười giờ bàn_tay người buông thật rồi thì mình ta ôm nỗi đau về sau chiều thu họa bóng em mây giăng lem xê_tà_hoàng_hôn từ ấy lâu kêu thay tên của người gọi nhau là cố_nhân ai ơi đau thắt_lòng từng thương lấy nhau như bóng với hình ai vừa nói câu yêu_thương tôi đây mà vậy ai vừa bước chân lên xe_hoa đi rồi trời thu buồn kéo mưa theo mây mờ giăng lối lấy em tôi đi rồi người ở đâu người ở đâu anh kiếm tiềm_dáng ai đã phai lâu rồi giờ nơi đâu về nơi đâu anh kiếm tiềm_dáng ai đã phai mờ phai chiều thu họa bóng em mây giăng lem xê_tà_hoàng_hôn từ ấy lâu kêu thay tên của người gọi nhau là cố_nhân ai ơi đau thắt_lòng từng thương lấy nhau như bóng với hình ai vừa nói câu yêu_thương tôi đây mà vậy ai vừa bước chân lên xe_hoa đi rồi trời thu buồn kéo mưa theo mây mờ giăng lối lấy em tôi đi rồi
2.0,mỗi lần nhớ người đã mất tim lại đau nhói,mỗi lần nhớ người đã mất tim lại đau nhói
2.0,mình chưa gặp bà nội lần nào hết vì nội mình mất năm ba mình tuổi còn còn ông nội mình mất năm mình tuổi,mình chưa gặp bà nội lần nào hết vì nội mình mất năm ba mình tuổi còn còn ông nội mình mất năm mình tuổi
2.0,tội bà ngoại quá,tội bà ngoại quá
